customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,service_count,avg_monthly_spend
C0000-1803,Male,0,Yes,Yes,21,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.68,1724.99,Yes,13-24 months,3,82.14238095238095
C0001-7964,Male,1,Yes,No,65,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.49,6379.57,No,49-72 months,5,98.14723076923076
C0002-6890,Female,1,No,Yes,25,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,80.17,2001.39,No,25-48 months,3,80.0556
C0003-4949,Male,0,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.6,696.44,Yes,13-24 months,2,40.96705882352941
C0004-4896,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.88,1178.77,No,13-24 months,2,56.131904761904764
C0005-8726,Male,0,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,94.79,6824.12,No,49-72 months,4,94.77944444444444
C0006-1773,Male,0,No,No,55,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),93.35,5142.32,No,49-72 months,5,93.49672727272727
C0007-7275,Male,1,No,No,12,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,89.77,1071.28,No,0-12 months,4,89.27333333333333
C0008-2813,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),102.82,2252.95,No,13-24 months,2,102.40681818181817
C0009-1847,Male,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),45.95,1745.28,No,25-48 months,2,45.92842105263158
C0010-5737,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,104.14,5081.08,No,49-72 months,4,103.69551020408163
C0011-9779,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,107.25,5699.13,No,49-72 months,3,107.53075471698114
C0012-7621,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.93,857.78,No,13-24 months,2,47.654444444444444
C0013-7849,Female,1,No,No,36,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),95.93,3449.12,No,25-48 months,4,95.80888888888889
C0014-7456,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.56,405.53,No,0-12 months,1,36.86636363636364
C0015-8073,Male,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),118.46,4878.29,No,25-48 months,4,118.98268292682927
C0016-5618,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.13,124.9,Yes,0-12 months,5,124.9
C0017-2152,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.97,1494.47,Yes,13-24 months,4,93.404375
C0018-8556,Female,0,No,No,72,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),81.66,5856.28,No,49-72 months,4,81.33722222222222
C0019-5053,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,91.57,345.69,Yes,0-12 months,2,86.4225
