customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000-1803,Male,0,Yes,Yes,21,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.68,1724.99,Yes
C0001-7964,Male,1,Yes,No,65,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.49,6379.57,No
C0002-6890,Female,1,No,Yes,25,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,80.17,2001.39,No
C0003-4949,Male,0,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.6,696.44,Yes
C0004-4896,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,55.88,1178.77,No
C0005-8726,Male,0,No,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,94.79,6824.12,No
C0006-1773,Male,0,No,No,55,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),93.35,5142.32,No
C0007-7275,Male,1,No,No,12,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,89.77,1071.28,No
C0008-2813,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),102.82,2252.95,No
C0009-1847,Male,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),45.95,1745.28,No
C0010-5737,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,104.14,5081.08,No
C0011-9779,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,107.25,5699.13,No
C0012-7621,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.93,857.78,No
C0013-7849,Female,1,No,No,36,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),95.93,3449.12,No
C0014-7456,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.56,405.53,No
C0015-8073,Male,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),118.46,4878.29,No
C0016-5618,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.13,124.9,Yes
C0017-2152,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.97,1494.47,Yes
C0018-8556,Female,0,No,No,72,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),81.66,5856.28,No
C0019-5053,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,91.57,345.69,Yes
C0020-5502,Female,0,No,No,14,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,70.54,962.32,No
C0021-4336,Female,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.8,4173.9,No
C0022-2642,Female,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.82,2293.73,No
C0023-9339,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.84,4739.62,No
C0024-8033,Female,1,No,No,43,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.85,2988.2,No
C0025-6794,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.01,1119.92,No
C0026-4621,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.69,703.79,No
C0027-8404,Female,0,Yes,Yes,57,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),50.4,2867.54,No
C0028-5908,Male,0,Yes,No,36,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.75,3184.59,No
